uid,group,total_spent
1010990,A,0
1029415,A,0
1025906,B,0
1017129,A,0
1027309,B,0
1017390,B,42.94
1023968,B,0
1006050,A,0
1028016,B,0
1004658,A,0
1007077,A,0
1006223,A,0
1008072,A,0
1021741,B,0
1027487,B,0
1006555,A,0
1014164,B,0
1026368,B,0
1018579,B,0
1015007,B,0
1014311,A,0
1005690,A,0
1024043,A,0
1015844,B,0
1021578,A,0
1020881,A,0
1028463,B,0
1000085,A,0
1011103,A,0
1013077,B,0
1026576,A,0
1001130,B,0
1028053,A,0
1023378,B,0
1017997,A,0
1012718,B,0
1012544,A,0
1027166,A,121.84
1014351,B,0
1007329,B,0
1009893,B,0
1029782,A,0
1015312,A,0
1025613,B,0
1025503,B,0
1016262,B,119.85073687569938
1028005,A,0
1024968,A,0
1025612,B,0
1022737,A,0
1010063,A,26.77
1024435,A,0
1019320,B,0
1012687,B,0
1026702,A,0
1025762,B,0
1013360,B,110.08
1007447,B,0
1028620,A,0
1008264,A,0
1021740,A,0
1015230,B,0
1009478,B,0
1028758,A,0
1018842,B,0
1012240,B,0
1029237,A,0
1015980,B,0
1021148,A,0
1009157,A,0
1028691,A,0
1005833,B,0
1012459,A,0
1027888,A,0
1019814,B,0
1018102,B,0
1010512,B,0
1029372,B,0
1017791,B,59.77730951657135
1025796,A,0
1023856,A,0
1022469,B,0
1028659,A,0
1026262,A,0
1025978,B,0
1014778,A,0
1000876,B,0
1015778,A,0
1027224,B,0
1012943,B,0
1014217,A,0
1006961,A,0
1010164,A,0
1029310,A,0
1013416,A,100.17
1025623,A,0
1004382,A,0
1017664,B,0
1016994,B,0
1024178,A,0
1011233,B,48.14
1001563,A,0
1027966,B,0
1029254,B,0
1025617,A,0
1003198,A,0
1020863,B,0
1007888,A,0
1011684,A,0
1012135,B,0
1028800,A,0
1006282,A,0
1022185,A,0
1009437,B,0
1013482,B,0
1000355,A,0
1017130,A,0
1015677,A,9.48
1010984,A,0
1004002,A,0
1000696,B,0
1009487,B,0
1008120,B,0
1026032,A,0
1029183,A,0
1027044,A,0
1005177,A,0
1021467,A,0
1014713,B,0
1003393,A,0
1028675,A,0
1007694,A,0
1020020,B,0
1012691,A,0
1018677,B,0
1025757,A,0
1024746,A,0
1012248,A,0
1006926,B,0
1029760,B,0
1025349,A,0
1020013,A,0
1014860,A,0
1010543,B,0
1008385,B,0
1019237,B,0
1004232,B,0
1024111,A,0
1013712,B,0
1008665,B,58.9
1008289,B,0
1026245,B,0
1015379,A,0
1006778,A,0
1018372,B,0
1005759,A,0
1006498,B,0
1028451,B,0
1027969,B,0
1005244,A,0
1012636,A,0
1025382,A,62.54
1002714,A,0
1012491,B,0
1029722,A,0
1028434,A,0
1008434,A,0
1027236,B,0
1018088,A,0
1027327,B,0
1024126,B,0
1026936,A,0
1027221,B,0
1011031,B,0
1000819,B,0
1009678,B,0
1009032,A,0
1027724,B,0
1026564,B,0
1025338,B,0
1004373,B,0
1026618,B,0
1018188,B,0
1022339,B,0
1024311,A,0
1025055,A,0
1025434,A,0
1024246,B,0
1007070,B,0
1025355,A,0
1025556,B,0
1000502,B,0
1007552,B,91.24
1029031,A,0
1022390,A,0
1023061,B,0
1027213,A,0
1016949,A,0
1006241,A,0
1022946,A,0
1018887,B,0
1009885,A,0
1002632,A,0
1014350,A,45.07
1020145,A,0
1007518,B,0
1029846,A,0
1028325,B,0
1011028,A,0
1020518,B,0
1013560,A,0
1026883,A,0
1008896,A,0
1019332,A,0
1013453,A,0
1009282,A,0
1000604,A,0
1023487,B,0
1013187,A,0
1007156,B,0
1004732,B,0
1005315,A,0
1006483,A,0
1015987,A,0
1012886,A,0
1019754,B,0
1001799,A,0
1010644,B,0
1028877,A,0
1023961,A,0
1006397,A,0
1017890,A,0
1006226,B,0
1028737,A,0
1008754,A,0
1004065,B,0
1027611,B,0
1012375,B,0
1005265,B,0
1012128,B,0
1007074,B,0
1005480,B,0
1024520,A,0
1025547,B,0
1027349,A,0
1024405,B,0
1023577,A,0
1000917,B,0
1002622,B,0
1013140,B,0
1021708,B,0
1025789,A,0
1011285,A,0
1019928,B,0
1018371,A,0
1020486,B,0
1019423,B,0
1019048,A,0
1026905,A,0
1028845,A,0
1016167,B,0
1021592,B,0
1016508,B,0
1015190,A,0
1010489,B,0
1013804,A,0
1002734,A,0
1013623,A,0
1003589,B,0
1024670,B,0
1014208,B,0
1000695,A,0
1020507,B,0
1016319,B,0
1010838,B,0
1019264,B,0
1012336,B,0
1014543,B,19.73
1004386,A,0
1003001,B,0
1013129,A,0
1004824,A,0
1024605,A,0
1006118,B,0
1012999,B,0
1026560,A,0
1017914,B,0
1008426,A,0
1026298,B,21.63
1026542,A,0
1010430,A,0
1028137,A,0
1026915,A,0
1016900,B,0
1015336,A,0
1000313,B,0
1003867,A,0
1001910,A,0
1021893,B,0
1019422,B,65.57
1004218,A,0
1026944,B,0
1021530,A,0
1022611,A,0
1025366,A,0
1005788,B,0
1020613,B,0
1000784,A,0
1010603,B,0
1018618,B,0
1018281,A,0
1008924,B,0
1019566,B,0
1014090,A,0
1012653,B,0
1025484,A,0
1002439,A,0
1029185,A,0
1015072,A,0
1028566,A,0
1013588,A,0
1004757,A,0
1017368,A,0
1019547,A,0
1000821,B,0
1023180,B,0
1023498,A,0
1012511,B,0
1023960,A,0
1027699,A,0
1021727,A,0
1029511,B,0
1028452,B,0
1026350,B,0
1012436,A,0
1005888,A,0
1029534,B,0
1014075,B,0
1026545,B,0
1015832,A,0
1012265,B,0
1005499,B,0
1015020,B,0
1005532,B,0
1026010,B,0
1014481,A,0
1008502,B,0
1009241,B,0
1019487,A,0
1015367,B,0
1008711,B,0
1001146,B,0
1014960,A,0
1010742,B,0
1025190,B,0
1010085,B,0
1001084,A,0
1029475,B,0
1028555,A,0
1024960,B,0
1029414,A,0
1012965,B,0
1006508,A,0
1009107,B,0
1025528,B,0
1007311,B,0
1029888,A,0
1024714,A,0
1025640,A,0
1002009,B,0
1014859,A,0
1010663,B,0
1020239,A,0
1024081,B,0
1022548,A,0
1019917,A,0
1020559,B,0
1016188,B,0
1009051,A,0
1022189,A,0
1015539,B,0
1018074,B,0
1006066,A,0
1014062,A,0
1022827,B,0
1017815,B,0
1007175,A,0
1029877,B,0
1007301,B,0
1004272,B,0
1017880,A,0
1013068,A,0
1022289,A,0
1007030,B,0
1000729,A,0
1026320,A,0
1024302,B,0
1011479,A,0
1028552,A,0
1011706,A,0
1015860,A,0
1004548,B,0
1003571,A,0
1006746,B,0
1026976,B,0
1026885,A,25.875163970642873
1012408,B,0
1021655,A,0
1017232,A,0
1003986,A,0
1028304,B,0
1027942,A,0
1018012,A,0
1009665,A,0
1004493,A,0
1019446,A,0
1010347,A,134.42
1008514,B,0
1001177,B,0
1026336,A,0
1028189,A,0
1027603,A,0
1011448,A,0
1012642,B,0
1004215,B,0
1005939,A,0
1029912,A,0
1014529,A,0
1010132,A,0
1003258,B,0
1014376,A,35.11
1000249,A,0
1000105,A,0
1008415,A,0
1027465,B,38.17
1014043,B,0
1011337,A,0
1027810,B,0
1003370,B,0
1021291,A,65.46
1013501,A,0
1023411,B,0
1011932,A,0
1027659,A,0
1012468,A,0
1027180,B,0
1002677,A,0
1011096,B,0
1003470,A,0
1016788,B,0
1010086,A,0
1012017,A,0
1011853,B,0
1005565,B,0
1003748,A,0
1028421,B,0
1021966,B,0
1005390,B,0
1009803,A,0
1009929,B,0
1017530,A,0
1016358,B,0
1004761,B,0
1029558,B,0
1001341,A,0
1002640,A,0
1004282,B,0
1008131,B,0
1017054,B,0
1004244,B,0
1025078,B,0
1009706,B,0
1027569,B,0
1023810,B,0
1011116,B,0
1019171,A,0
1026741,B,0
1007737,A,0
1026203,A,0
1012799,B,0
1007462,A,0
1029026,A,44.31
1023574,A,0
1002333,B,0
1017245,A,0
1008125,B,0
1011266,A,0
1006789,B,0
1004217,B,0
1019200,A,0
1014918,A,0
1017925,B,27.89
1011834,A,0
1008565,B,0
1027507,A,0
1006805,B,0
1002180,A,0
1015130,A,113.67
1003240,A,0
1026006,B,0
1015543,B,0
1008969,B,0
1021145,A,57.75
1000872,B,0
1001413,A,0
1011048,B,0
1007122,B,0
1004989,A,0
1024947,A,0
1029002,B,0
1017517,A,0
1002887,A,0
1009843,A,0
1014799,A,0
1010470,A,0
1011201,A,0
1005722,B,0
1019491,A,0
1015108,B,0
1016219,A,0
1025594,B,0
1001972,B,0
1008239,A,0
1006089,A,0
1003454,A,0
1028816,B,0
1009559,B,0
1001748,A,0
1021465,A,0
1023320,B,0
1025373,B,0
1014005,A,0
1012951,B,0
1006353,A,0
1006280,A,72.31
1018800,B,0
1012896,A,17.63
1000488,B,0
1007338,A,0
1028971,A,0
1021420,B,0
1001022,A,0
1015529,B,0
1002043,B,0
1010192,B,0
1015328,B,0
1025233,B,0
1017508,A,0
1001102,B,0
1009424,B,0
1019186,A,0
1004590,B,0
1022323,A,0
1000717,B,0
1027506,B,0
1003747,B,0
1020684,B,0
1000806,B,0
1019924,A,0
1028034,A,43.40331822599846
1011059,A,0
1008091,B,0
1003318,B,0
1013572,A,0
1006982,B,0
1000774,B,0
1018598,B,0
1006914,A,0
1023776,B,0
1003974,A,0
1023484,B,0
1003669,A,0
1013626,B,0
1010068,B,0
1015461,A,0
1007029,A,0
1014263,B,0
1025452,B,0
1018368,A,0
1025362,B,0
1012356,B,0
1002934,A,0
1013825,B,0
1010893,A,0
1013930,B,0
1026932,A,0
1013620,A,0
1008373,B,0
1029745,A,0
1020319,A,0
1012349,B,0
1006902,A,0
1002966,B,0
1026274,B,0
1012080,B,0
1019170,A,0
1017237,A,0
1010656,A,0
1027352,A,0
1028814,B,0
1026030,B,0
1021742,B,0
1001254,B,0
1003127,B,139.73
1020956,A,0
1021423,B,0
1024607,A,0
1028065,B,0
1014566,A,0
1011976,A,0
1005421,A,0
1022768,A,0
1023443,B,0
1000791,B,0
1011207,B,0
1004598,A,0
1008630,A,0
1027676,B,0
1018406,A,0
1011971,B,0
1013415,A,0
1000434,B,0
1027528,A,0
1000804,A,0
1004525,A,0
1013377,A,0
1022702,B,0
1005230,B,0
1011399,B,0
1021424,A,0
1029992,B,0
1008922,B,0
1021325,B,0
1001647,A,0
1002562,A,0
1004969,B,0
1009670,A,0
1015017,A,0
1023350,A,0
1011523,A,0
1023370,A,0
1021839,A,0
1020574,B,0
1015573,A,0
1028788,A,0
1016347,B,0
1013413,B,0
1007827,A,0
1010945,B,0
1022340,B,0
1027590,A,0
1013907,B,0
1010640,A,0
1010413,B,0
1000276,A,0
1016363,A,0
1004279,B,0
1022009,B,0
1017159,A,0
1002042,B,0
1010898,B,0
1005347,A,0
1002281,B,0
1027310,B,0
1015284,A,0
1027338,A,0
1003378,A,0
1018031,B,0
1026330,A,0
1004988,B,0
1005739,A,0
1009830,A,57.99
1007537,B,0
1014651,B,0
1026713,B,0
1009185,A,0
1013799,A,0
1025633,A,0
1020802,B,0
1029726,A,0
1005039,B,0
1020864,B,0
1005578,B,0
1004561,B,0
1023125,A,0
1008541,B,0
1018681,B,0
1024168,A,0
1019923,B,0
1016069,A,0
1011268,B,0
1017881,A,0
1026570,A,0
1013246,A,0
1026603,B,0
1014820,B,0
1010074,B,0
1008222,B,0
1024169,A,0
1002676,B,0
1000581,A,0
1024466,B,0
1011980,A,0
1016157,B,0
1001646,A,0
1002047,A,0
1020186,B,0
1005511,A,0
1027013,A,0
1002746,A,0
1011237,A,0
1024191,B,0
1021268,A,0
1008512,A,0
1024194,B,0
1005724,B,0
1007426,A,0
1029403,B,0
1013371,B,0
1014260,B,0
1013355,B,0
1024588,B,87
1013449,A,0
1018823,B,0
1026943,B,0
1028156,B,0
1019973,A,0
1029788,B,0
1008449,A,0
1026927,B,0
1025391,A,0
1011683,B,0
1024959,B,0
1016626,A,0
1005206,B,0
1014994,A,0
1003008,A,0
1005221,B,0
1020233,B,0
1013418,B,0
1029975,B,0
1011269,B,0
1000299,B,0
1010665,A,0
1014445,A,0
1022573,B,0
1004225,A,0
1010816,A,0
1002749,A,0
1018908,B,24.73
1025734,A,0
1015257,B,0
1023308,A,0
1006011,B,0
1015614,B,0
1008069,A,0
1015793,A,40.24
1009027,A,0
1023542,B,0
1022274,A,0
1007532,B,0
1024958,B,0
1014557,B,0
1022237,B,237.72796965976744
1011538,B,0
1029689,A,0
1009742,A,0
1016593,A,0
1024317,A,0
1016769,A,0
1021511,B,0
1027891,B,0
1027711,A,0
1009978,B,0
1010036,A,0
1026525,A,0
1015498,B,0
1012766,B,0
1030086,B,0
1020500,A,0
1010355,B,0
1000251,A,0
1013478,A,0
1028431,A,0
1012326,B,0
1006521,A,0
1025689,B,0
1007571,A,0
1012663,B,0
1009833,A,0
1003468,B,0
1029065,A,0
1015150,A,0
1029712,A,0
1016252,B,0
1022488,B,0
1006435,A,0
1026396,A,0
1023935,A,0
1008073,B,34.25
1014903,B,0
1003216,A,0
1011711,A,0
1018086,A,0
1007361,B,0
1014286,A,0
1019142,A,0
1004172,A,0
1022325,A,0
1022593,A,0
1025227,B,0
1009859,A,0
1019977,B,0
1007911,A,0
1004062,B,0
1021590,A,0
1028741,B,0
1026767,B,0
1026455,B,0
1023206,A,0
1015441,B,0
1022844,A,0
1014346,A,0
1005555,A,0
1004079,A,0
1026738,B,0
1003988,A,0
1029016,B,0
1012136,A,0
1024793,B,0
1011445,A,0
1028996,A,0
1004947,B,0
1029684,B,57.38
1018378,B,0
1015935,A,0
1012045,A,0
1014910,B,0
1029936,B,0
1015567,B,0
1023455,A,0
1010561,B,0
1019165,B,0
1024764,A,0
1029297,B,0
1026686,A,0
1029242,A,0
1017453,B,0
1001892,A,0
1028174,B,0
1008833,B,0
1014573,A,0
1028953,B,0
1024557,B,0
1015052,A,0
1004867,A,0
1002443,A,0
1028195,B,0
1011783,B,0
1021988,B,0
1002324,A,0
1012578,A,0
1023257,A,0
1017868,A,0
1012236,B,0
1016071,B,0
1002016,B,0
1027923,A,0
1009407,B,0
1007142,A,0
1002203,B,0
1020725,A,0
1012374,A,0
1003808,A,0
1019177,A,0
1008783,A,0
1011461,A,33.5
1014553,B,0
1016711,B,0
1027022,A,0
1009791,B,0
1023771,A,0
1013379,B,0
1024365,B,0
1026880,A,0
1022855,A,0
1008861,B,0
1000534,B,0
1013134,B,0
1026958,A,0
1015683,A,0
1017665,A,0
1005094,B,0
1000462,B,0
1016134,B,18.76
1021388,A,0
1002186,B,0
1000749,B,0
1012191,B,0
1014584,B,0
1009707,A,0
1022812,A,0
1014060,B,0
1012266,B,0
1027677,A,0
1027932,A,0
1014983,A,0
1024843,B,0
1017917,A,0
1008319,B,0
1025510,A,0
1003087,B,0
1005071,A,0
1005303,B,0
1001087,B,0
1012104,B,0
1029702,A,0
1029876,A,0
1008965,B,149.41095584660366
1027186,A,0
1009432,A,0
1018690,B,0
1020347,B,0
1010325,B,0
1017110,A,0
1005644,A,0
1005399,A,0
1013168,B,0
1028203,A,0
1027449,B,0
1017395,A,0
1001946,A,115.92
1003358,B,0
1000937,B,122.28
1005254,B,0
1020331,B,0
1023471,B,0
1000578,B,0
1018989,A,0
1024186,A,0
1028565,B,0
1005907,A,0
1011544,B,0
1028329,B,0
1004615,A,0
1028523,A,0
1011279,B,0
1008479,A,0
1005972,B,0
1005117,B,0
1026538,B,0
1007844,B,0
1022967,B,0
1000556,B,0
1022094,B,0
1024014,A,0
1017915,A,0
1023116,B,0
1000201,B,0
1007657,A,0
1008820,A,8.19
1017718,B,94.41
1019498,B,0
1021535,B,0
1026706,A,0
1022677,B,0
1020291,B,0
1009993,B,0
1004246,A,0
1006504,B,0
1025821,A,0
1002893,B,0
1023954,B,0
1026002,B,0
1027384,A,0
1020700,B,161.94
1019179,B,0
1005585,B,0
1024182,B,0
1017371,B,0
1027769,A,0
1029464,B,0
1004378,B,0
1029048,B,0
1024416,B,0
1022708,B,0
1007865,A,0
1023285,B,0
1018218,A,0
1015501,B,0
1028927,B,0
1003021,B,0
1015562,A,0
1027292,B,0
1027267,B,0
1011505,A,0
1015921,B,0
1028875,B,0
1018264,A,0
1004142,A,0
1017396,B,0
1002005,B,0
1004849,B,12.58
1012206,B,0
1015041,B,0
1027632,B,0
1010467,B,0
1022757,B,0
1022030,B,0
1023931,B,0
1012539,A,0
1018878,A,0
1025057,A,0
1019227,A,0
1008834,B,0
1022888,A,0
1019914,B,0
1022539,A,0
1018789,A,0
1009987,B,0
1018399,A,0
1020236,B,82.23
1027644,A,0
1026137,A,0
1014484,A,0
1026663,B,0
1023922,A,0
1027944,B,0
1028740,B,0
1004710,B,0
1013473,B,0
1010269,B,0
1009286,A,0
1025436,B,0
1014176,B,0
1009660,A,0
1013442,A,0
1026992,B,0
1010623,B,0
1015144,A,0
1008769,B,0
1010232,A,0
1024515,B,0
1014479,B,0
1021605,A,0
1000129,A,0
1015542,A,0
1022814,A,0
1004251,A,0
1004831,B,0
1012637,B,0
1029960,B,0
1002257,A,0
1026463,B,0
1011554,B,48.66
1007109,B,0
1004398,B,0
1027600,A,0
1014975,B,0
1000911,A,0
1008575,B,18.83
1025486,B,0
1001150,B,0
1019523,A,0
1022567,B,0
1005618,B,0
1024583,A,0
1003520,A,0
1003476,B,0
1018877,A,0
1028313,A,126.6
1013577,A,0
1000891,B,0
1024906,A,0
1026941,A,0
1012868,B,0
1001079,A,0
1017383,A,0
1010941,A,0
1026670,A,0
1007137,B,0
1021810,B,0
1022867,A,0
1002302,B,0
1014162,A,0
1012048,A,0
1024351,B,0
1014232,A,0
1012818,A,0
1008645,A,0
1014526,B,0
1015107,A,0
1023610,B,0
1026771,B,0
1019439,B,0
1016247,A,0
1013051,A,0
1029790,B,0
1000875,A,0
1011587,A,0
1023578,A,0
1021892,A,0
1007111,A,0
1026480,B,0
1000439,A,0
1027096,B,0
1020397,B,0
1011534,A,0
1005606,B,0
1025091,B,0
1023652,A,0
1010496,B,61.12
1022347,A,0
1004621,B,0
1026031,B,0
1013091,A,0
1006263,B,0
1028350,B,0
1014617,B,0
1002743,A,0
1003888,B,0
1015913,B,0
1013439,B,0
1006759,A,0
1013954,A,0
1002722,A,0
1017892,B,0
1003830,A,0
1005164,A,0
1001454,B,0
1027954,A,0
1027562,B,0
1006937,A,0
1023720,A,0
1023571,B,0
1014281,B,0
1015212,B,0
1004125,A,0
1026334,A,0
1010346,B,0
1012199,B,0
1011386,B,0
1002461,A,0
1016501,B,0
1028989,B,0
1004544,A,0
1013433,B,0
1012002,A,0
1014805,B,0
1029843,A,0
1016565,B,0
1024870,B,0
1013996,A,0
1000133,A,0
1011533,B,0
1020432,B,0
1020705,A,0
1011665,A,52.11
1011168,A,0
1010609,A,0
1007362,A,0
1005695,A,0
1020770,B,39.29
1005380,A,0
1023213,B,0
1006151,A,0
1030045,B,0
1011295,B,0
1026535,B,0
1015420,B,0
1001186,A,0
1019107,B,0
1006852,A,0
1009263,B,0
1013486,A,0
1007547,B,0
1001298,A,75.93
1016963,B,0
1007339,B,0
1019485,B,0
1019695,B,0
1026893,A,0
1006607,B,0
1018120,B,0
1006057,A,0
1017446,A,0
1007637,A,0
1007219,B,0
1027393,B,0
1012698,B,0
1022493,B,0
1019262,A,0
1028134,B,93.89
1022739,A,0
1002546,B,0
1019039,B,0
1005797,A,0
1002142,A,0
1028694,B,0
1028965,B,0
1028594,A,0
1000952,A,0
1021670,B,0
1022715,A,0
1011177,A,0
1013542,B,0
1004129,A,0
1025763,A,0
1023830,A,0
1027075,B,0
1013271,B,0
1006641,B,0
1020945,B,0
1018950,A,0
1011692,B,0
1018680,B,0
1017623,B,0
1023258,A,0
1011425,A,0
1010416,A,0
1012343,B,0
1016866,A,0
1001054,B,0
1004758,B,0
1025886,A,0
1014981,B,0
1018169,A,0
1020373,B,0
1007771,A,0
1028985,B,0
1004746,B,64.58
1000015,A,0
1006816,B,0
1028311,A,0
1021856,A,0
1008582,A,0
1020259,B,0
1021681,B,0
1015351,A,0
1007970,A,0
1028544,B,0
1021585,B,0
1029179,A,0
1002996,B,0
1022881,A,0
1013936,A,0
1015055,B,0
1017436,B,0
1010070,B,0
1002368,A,0
1013595,A,0
1017040,B,0
1012862,A,0
1015050,A,0
1000963,B,0
1008970,B,0
1020827,A,0
1012448,B,0
1009239,A,0
1003170,B,0
1002819,B,0
1014501,A,0
1001675,A,0
1002421,A,0
1016736,B,0
1012018,B,0
1017981,A,0
1006490,A,0
1003926,A,0
1010104,B,0
1009646,B,0
1015594,B,0
1028238,B,0
1015306,A,0
1003864,B,0
1010601,B,0
1024335,B,0
1015772,B,0
1017196,B,0
1008708,A,0
1003551,A,0
1015889,A,0
1028111,A,0
1005183,A,0
1012395,A,0
1013787,B,0
1020869,A,0
1014295,B,0
1028397,A,0
1018408,A,0
1012036,A,0
1005485,B,0
1013836,A,0
1013631,B,0
1006518,A,0
1016194,B,0
1012638,A,0
1003963,A,0
1006033,B,0
1021177,B,0
1026449,A,0
1029753,B,0
1028057,A,0
1011503,A,0
1015302,B,0
1015437,A,0
1000933,B,0
1028465,A,0
1000357,A,0
1018566,B,0
1002801,B,0
1029370,B,0
1015105,B,0
1003921,B,0
1002322,B,0
1014777,B,0
1013176,A,162.87
1022266,B,0
1006470,A,0
1009671,A,0
1022819,B,0
1004441,A,0
1026770,B,0
1001167,A,0
1007198,B,0
1021678,A,0
1020972,B,0
1013858,B,0
1017567,A,0
1010842,A,0
1027496,B,0
1019588,B,0
1016608,B,0
1001046,B,0
1028935,A,0
1005964,B,0
1012183,A,0
1003050,B,0
1025342,A,0
1016492,A,0
1021458,B,0
1000329,B,0
1017273,B,0
1008025,B,0
1001996,A,0
1017186,A,0
1026307,A,0
1007747,B,0
1025880,B,0
1003496,B,0
1029555,B,0
1028490,A,0
1025532,B,0
1028122,A,0
1007205,B,0
